Algoritmo,N,menor,maior,medio
busca linear,1,0.0000000,0.0000002,0.0000000
busca linear,201,0.0000000,0.0000005,0.0000002
busca linear,401,0.0000000,0.0000010,0.0000005
busca linear,601,0.0000000,0.0000010,0.0000005
busca linear,801,0.0000000,0.0000014,0.0000006
busca linear,1001,0.0000000,0.0000017,0.0000008
busca linear,1201,0.0000000,0.0000019,0.0000009
busca linear,1401,0.0000000,0.0000091,0.0000011
busca linear,1601,0.0000000,0.0000026,0.0000012
busca linear,1801,0.0000000,0.0000029,0.0000014
busca linear com ordenacao,1,0.00000000,0.00000143,0.00000004
busca linear com ordenacao,201,0.00000048,0.00000095,0.00000067
busca linear com ordenacao,401,0.00000072,0.00000525,0.00000119
busca linear com ordenacao,601,0.00000119,0.00000262,0.00000138
busca linear com ordenacao,801,0.00000143,0.00005054,0.00000192
busca linear com ordenacao,1001,0.00000215,0.00006604,0.00000351
busca linear com ordenacao,1201,0.00000262,0.00007963,0.00000388
busca linear com ordenacao,1401,0.00000286,0.00000501,0.00000320
busca linear com ordenacao,1601,0.00000358,0.00006390,0.00000456
busca linear com ordenacao,1801,0.00000358,0.00006819,0.00000392
busca binaria,1,0.00000000,0.00000016,0.00000001
busca binaria,201,0.00000000,0.00000024,0.00000002
busca binaria,401,0.00000000,0.00000024,0.00000002
busca binaria,601,0.00000000,0.00000024,0.00000002
busca binaria,801,0.00000000,0.00000024,0.00000002
busca binaria,1001,0.00000000,0.00000024,0.00000002
busca binaria,1201,0.00000000,0.00000024,0.00000002
busca binaria,1401,0.00000000,0.00000024,0.00000002
busca binaria,1601,0.00000000,0.00000024,0.00000002
busca binaria,1801,0.00000000,0.00000024,0.00000002
busca binaria com ordenacao,1,0.00000000,0.00000011,0.00000004
busca binaria com ordenacao,201,0.00000072,0.00000095,0.00000076
busca binaria com ordenacao,401,0.00000119,0.00000215,0.00000154
busca binaria com ordenacao,601,0.00000119,0.00004721,0.00000160
busca binaria com ordenacao,801,0.00000143,0.00000310,0.00000171
busca binaria com ordenacao,1001,0.00000215,0.00002241,0.00000284
busca binaria com ordenacao,1201,0.00000262,0.00007486,0.00000333
busca binaria com ordenacao,1401,0.00000286,0.00001383,0.00000297
busca binaria com ordenacao,1601,0.00000310,0.00007963,0.00000362
busca binaria com ordenacao,1801,0.00000358,0.00009465,0.00000469
bubble sort,1,0.00000000,0.00000143,0.00000004
bubble sort,1000,0.00000215,0.00001502,0.00000295
bubble sort,2000,0.00000429,0.00001431,0.00000454
bubble sort,4000,0.00000930,0.00003672,0.00000965
bubble sort,8000,0.00001788,0.00007176,0.00001840
bubble sort,16000,0.00003600,0.00015926,0.00003851
bubble sort,32000,0.00007176,0.00015402,0.00007288
bubble sort,64000,0.00014329,0.00022006,0.00014720
bubble sort,128000,0.00028610,0.00040436,0.00029296
bubble sort,256000,0.00057244,0.00109625,0.00059373
bubble sort,512000,0.00114679,0.00263429,0.00127375
bubble sort,1024000,0.00229359,0.00946927,0.00236288
bubble sort pior caso teorico,1,0.00000000,0.00000119,0.00000004
bubble sort pior caso teorico,201,0.00000072,0.00036907,0.00000125
bubble sort pior caso teorico,401,0.00000095,0.00089121,0.00000193
bubble sort pior caso teorico,601,0.00000119,0.00198126,0.00000341
bubble sort pior caso teorico,801,0.00000167,0.00430560,0.00000644
bubble sort pior caso teorico,1001,0.00000215,0.00592613,0.00000831
bubble sort pior caso teorico,1201,0.00000262,0.00787687,0.00001086
bubble sort pior caso teorico,1401,0.00000310,0.01050472,0.00001380
bubble sort pior caso teorico,1601,0.00000334,0.01369691,0.00001795
bubble sort pior caso teorico,1801,0.00000381,0.01276994,0.00001720
bubble sort melhor caso teorico,1,0.00000000,0.00000119,0.00000004
bubble sort melhor caso teorico,201,0.00000072,0.00000095,0.00000083
bubble sort melhor caso teorico,401,0.00000072,0.00000310,0.00000141
bubble sort melhor caso teorico,601,0.00000119,0.00005579,0.00000159
bubble sort melhor caso teorico,801,0.00000167,0.00001431,0.00000194
bubble sort melhor caso teorico,1001,0.00000215,0.00002670,0.00000265
bubble sort melhor caso teorico,1201,0.00000262,0.00011325,0.00000327
bubble sort melhor caso teorico,1401,0.00000310,0.00001788,0.00000332
bubble sort melhor caso teorico,1601,0.00000334,0.00006270,0.00000405
bubble sort melhor caso teorico,1801,0.00000381,0.00002456,0.00000432
